plant,stem_length_m,internode_id,internode_len_m
0089,1.4988,11,0.2274
0090,1.8568,1,0.0857
0090,1.8568,2,0.0816
0090,1.8568,3,0.1067
0090,1.8568,4,0.1472
0090,1.8568,5,0.1231
0090,1.8568,6,0.1909
0090,1.8568,7,0.1455
0090,1.8568,8,0.1285
0090,1.8568,9,0.0974
0090,1.8568,10,0.2402
0091,1.4877,1,0.1148
0091,1.4877,2,0.111
0091,1.4877,3,0.0739
0091,1.4877,4,0.1183
0091,1.4877,5,0.1335
0091,1.4877,6,0.1387
0091,1.4877,7,0.0595
0091,1.4877,8,0.0739
0092,2.2354,1,0.1476
0092,2.2354,2,0.125
0092,2.2354,3,0.173
0092,2.2354,4,0.266
0092,2.2354,5,0.1207
0092,2.2354,6,0.2033
0092,2.2354,7,0.1117
0092,2.2354,8,0.3612
0093,1.7031,1,0.0896
0093,1.7031,2,0.1148
0093,1.7031,3,0.119
0093,1.7031,4,0.1947
0093,1.7031,5,0.0949
0093,1.7031,6,0.0525
0093,1.7031,7,0.141
0093,1.7031,8,0.0709
0093,1.7031,9,0.1685
0093,1.7031,10,0.1044
0093,1.7031,11,0.0825
0093,1.7031,12,0.0771
0094,2.1023,1,0.2325
0094,2.1023,2,0.1122
0094,2.1023,3,0.1645
0094,2.1023,4,0.1264
0094,2.1023,5,0.1532
0094,2.1023,6,0.2774
0094,2.1023,7,0.1433
0094,2.1023,8,0.3367
0094,2.1023,9,0.0835
0095,1.6528,1,0.0903
0095,1.6528,2,0.1565
0095,1.6528,3,0.1585
0095,1.6528,4,0.1511
0095,1.6528,5,0.1267
0095,1.6528,6,0.1443
0095,1.6528,7,0.1209
0095,1.6528,8,0.1723
0095,1.6528,9,0.107
0096,1.9943,1,0.0881
0096,1.9943,2,0.0934
0096,1.9943,3,0.149
0096,1.9943,4,0.1524
0096,1.9943,5,0.1505
0096,1.9943,6,0.2472
0096,1.9943,7,0.123
0096,1.9943,8,0.0885
0096,1.9943,9,0.2326
0096,1.9943,10,0.1196
0096,1.9943,11,0.0926
0097,1.5948,1,0.0952
0097,1.5948,2,0.1201
0097,1.5948,3,0.1184
0097,1.5948,4,0.1949
0097,1.5948,5,0.0617
0097,1.5948,6,0.0624
0097,1.5948,7,0.3475
0097,1.5948,8,0.0597
0098,2.0274,1,0.0958
0098,2.0274,2,0.1933
0098,2.0274,3,0.2071
0098,2.0274,4,0.1391
0098,2.0274,5,0.1538
0098,2.0274,6,0.1846
0098,2.0274,7,0.2003
0098,2.0274,8,0.055
0098,2.0274,9,0.1181
0099,1.9517,1,0.0946
0099,1.9517,2,0.1218
0099,1.9517,3,0.1451
0099,1.9517,4,0.1165
0099,1.9517,5,0.1688
0099,1.9517,6,0.1482
0099,1.9517,7,0.1598
0099,1.9517,8,0.1306
0099,1.9517,9,0.1313
0099,1.9517,10,0.194
0100,2.035,1,0.0919
0100,2.035,2,0.1021
0100,2.035,3,0.1202
0100,2.035,4,0.194
0100,2.035,5,0.1132
0100,2.035,6,0.2211
0100,2.035,7,0.1846
0100,2.035,8,0.2321
0100,2.035,9,0.113
0101,2.0448,1,0.1104
0101,2.0448,2,0.1467
0101,2.0448,3,0.1475
0101,2.0448,4,0.1312
0101,2.0448,5,0.164
0101,2.0448,6,0.1702
0101,2.0448,7,0.1527
0101,2.0448,8,0.1124
0101,2.0448,9,0.1361
0101,2.0448,10,0.1523
0101,2.0448,11,0.2217
0101,2.0448,12,0.1118
0102,1.9281,1,0.1142
0102,1.9281,2,0.1106
0102,1.9281,3,0.1282
0102,1.9281,4,0.1684
0102,1.9281,5,0.1067
0102,1.9281,6,0.1324
0102,1.9281,7,0.1809
0102,1.9281,8,0.1343
0102,1.9281,9,0.0893
0102,1.9281,10,0.1347
0102,1.9281,11,0.0963
0102,1.9281,12,0.1078
0103,1.5442,1,0.0794
0103,1.5442,2,0.1231
0103,1.5442,3,0.1125
0103,1.5442,4,0.1494
0103,1.5442,5,0.1684
0103,1.5442,6,0.0904
0103,1.5442,7,0.1659
0104,1.8938,1,0.1117
0104,1.8938,2,0.0787
0104,1.8938,3,0.11
0104,1.8938,4,0.1342
0104,1.8938,5,0.1837
0104,1.8938,6,0.1934
0104,1.8938,7,0.1025
0104,1.8938,8,0.1434
0105,2.1128,1,0.2815
0105,2.1128,2,0.1439
0105,2.1128,3,0.3149
0105,2.1128,4,0.1769
0105,2.1128,5,0.1264
0105,2.1128,6,0.0834
0105,2.1128,7,0.2152
0105,2.1128,8,0.1777
0106,2.3589,1,0.1731
0106,2.3589,2,0.1121
0106,2.3589,3,0.3682
0106,2.3589,4,0.1307
0106,2.3589,5,0.302
0106,2.3589,6,0.3255
0106,2.3589,7,0.2104
